"";"X.cronica";"X.ensayo";"X.prensa";"X.redes"
"heidegger";-0,7849;5,5101;-0,9396;-2,0902
"recaudación";-0,7849;-0,5618;5,1459;-2,0902
"diógenes";-0,999;4,3506;-1,1959;-1,1028
"película";-7,5634;-16,2714;-1,8318;34,0164
"discapacidad";0,409;-3,3173;4,9334;-0,9748
"ciento";1,4904;-17,6933;70,8986;-40,1766
"bjp";-1,1417;8,0148;-1,3667;-3,0404
"discutir";0,9315;4,3871;-1,2405;-4,2675
"desvío";-2,2834;10,1008;-0,5223;-6,0808
"marcela";5,2243;-1,1609;-0,4677;-1,4002
"dormir";6,0264;-17,0446;-3,8372;9,7779
"alemania";-15,414;48,9895;-0,3644;-32,7598
"planeación";0,8267;-3,1287;5,7648;-2,5524
"murales";3,8426;-0,8977;0,2549;-1,9002
"crear";-0,3499;1,1189;-0,2807;-0,9685
"cuestión";-13,4988;103,7991;-9,142;-48,8669
"mundo";-41,8451;178,5456;-16,1622;-47,1148
"inventar";-1,2953;2,6679;-0,9312;-0,5069
"gala|galo";-0,8562;-0,3515;1,3238;-0,2437
"código";4,613;-0,9862;3,4347;-8,4987
"posible";-3,6996;45,6675;-0,9686;-31,5369
"cámara";10,1126;-15,5727;33,4348;-27,7708
"______________";-1,7125;-3,952;-2,0501;10,813
"cartera";1,4495;-0,2168;0,3793;-1,5599
"ignorancia";-4,5905;6,0946;-3,8988;0,3742
"aplicable";-0,4063;2,23;-0,2348;-1,5599
"feria";0,4161;-2,6124;0,9192;0,8135
"lágrima";1,6303;0,9722;-1,6609;-0,9994
"organizador";1,314;-0,5096;1,5802;-2,6603
"bienvenida";1,145;-1,8113;0,5063;0,2317
"sano";-1,3563;1,5334;0,8059;-1,168
"rozar";0,6463;-0,5618;0,9319;-0,7172
"perjudicar";-2,1406;4,084;-0,2614;-1,6833
"paso";-2,4696;-3,7438;-4,1167;15,8705
"derribar";-0,2902;2,2992;-0,1944;-2,2162
"recepción";0,5433;-0,322;2,7259;-3,4204
"pecado";-11,9884;60,8472;-8,5806;-20,8458
"suave";4,2681;-1,3786;-0,5781;-0,6889
"anochecer";-0,933;-3,7874;-1,1866;7,4166
"holandés";-0,2686;3,6534;-0,8542;-1,9002
"mora";2,2007;-1,5891;0,8805;-0,9569
"beatriz";1,3591;-2,964;4,2688;-2,3838
"kherson";-1,7125;-3,952;-2,0501;10,813
"expulsarm";-0,999;-2,3053;-1,1959;6,3075
"recelo";-3,4964;-2,7999;24,0759;-7,8657
"coincidencia";-1,1801;4,4963;-0,3005;-2,5652
"lograr";11,2472;-8,4825;8,8389;-7,2317
"respectivo";0,2411;2,7499;0,647;-4,9895
"hugo";-0,8912;-0,5089;2,5474;-0,645
"amparo";-1,2233;-13,1513;40,9967;-9,1569
"sonido";1,2457;2,8145;-1,2018;-3,1774
"tvnnoticias";-1,0703;-2,47;-1,2813;6,7581
"ausente";2,029;2,1098;-1,3615;-3,3895
"fundar";1,0939;1,454;1,8771;-7,5042
"signo";-2,6443;24,4703;-3,2818;-10,5434
"papel";0,5964;9,1538;-0,4638;-10,6871
"villarreal";1,4495;-2,1407;3,2497;-2,4703
"aula";-1,3881;-4,4631;18,668;-4,4828
"carolina";1,9172;-0,5096;0,6373;-1,7216
"denuncia";15,0627;-13,6393;5,7284;-5,0381
"abandono";-23,9443;-53,0079;-28,9258;158,7554
"individualizada";-1,2844;9,0166;-1,5376;-3,4204
"pertenecer";4,6171;3,3221;-0,6733;-10,3728
"corina";-0,5554;-2,6347;-1,3667;5,7293
"cometido";0,3283;0,6599;1,0222;-1,9443
"cubrir";11,6495;1,1487;-0,2734;-16,3991
"salvación";-1,4411;11,214;-1,8817;-4,6422
"gilberto";3,1848;-2,47;2,0123;-2,8503
"confesión";-1,3159;26,2481;-7,1755;-11,7357
"imprevisible";-2,0693;14,5269;-2,4772;-5,5107
"aabenedetti";-1,213;-2,7993;-1,4521;7,6592
"influenciar";-0,8562;1,8795;-0,4677;-0,4751
"traicionar";-5,3236;-4,9752;-1,069;13,9243
"ídolo";-1,4271;4,94;-1,7084;-0,9569
"rebatir";-0,7135;-0,4655;-0,8542;2,2785
"correspondencia";0,2894;1,0125;0,5063;-2,0902
"luchar";1,5831;0,6531;-5,9863;0,7944
"toluca";8,1926;-5,5987;2,3915;-5,1672
"saint";-2,6401;16,6246;-2,2043;-7,0309
"sainz";-0,7849;-1,8113;-0,9396;4,9559
"definición";-2,3522;15,4652;-2,0674;-5,9498
"incómodo";-0,924;-1,5463;-0,7487;3,7779
"instituir";-0,8562;2,599;0,4377;-2,2803
"bastar";-0,5758;3,6147;-2,1691;-0,7726
"arrasar";0,909;-0,4238;0,6647;-0,9137
"virus";-5,3517;-10,7992;18,8297;-0,3961
"óscar";14,9437;-3,7874;-0,7105;-4,3705
"elemental";-0,8771;4,0559;-0,3672;-2,2631
"depauperación";-0,7135;5,0092;-0,8542;-1,9002
"xochimilco";-1,2844;-2,964;8,5505;-1,1373
"reglamento";0,4457;0,5845;1,0547;-2,6603
"ilustrar";-0,4826;12,9944;-1,8998;-9,6914
"columna";-1,9897;-0,5392;8,2868;-2,9307
"emergencia";5,498;-5,5404;13,9473;-15,2695
"secular";-0,7849;5,5101;-0,9396;-2,0902
"especie";-4,9315;49,4091;-3,5637;-27,2489
"fábula";-1,213;8,5157;-1,4521;-3,2304
"secta";-1,2784;4,4078;-1,0542;-1,172
"motocicleta";-0,5214;-3,7874;13,4725;-4,3705
"indocumentadas";8,1957;-1,6467;-0,8542;-1,9002
"activista";19,4513;-3,0273;0,542;-10,2111
