"";"X.cronica";"X.ensayo";"X.prensa";"X.redes"
"eichmann";-1,213;8,5157;-1,4521;-3,2304
"eludir";-0,8562;2,599;0,4377;-2,2803
"fruto";0,8267;2,1572;0,5237;-5,2865
"partidario";-0,933;5,2586;-0,4067;-3,2362
"patriarcado";5,0288;-0,8977;-0,8542;-1,088
"comparación";-1,708;8,6011;-0,2526;-6,2165
"inferioridad";-0,7849;3,0574;-0,4093;-1,2428
"qu";-3,7105;-8,5628;-3,3519;21,4476
"qe";-0,7849;-1,8113;-0,9396;4,9559
"asunción";-1,0703;5,9883;-0,6518;-2,8503
"qn";-0,999;-2,3053;-1,1959;6,3075
"revenge_zds";-1,1417;-2,6347;-1,3667;7,2086
"marchar";0,4188;-0,8363;-1,8068;2,0987
"proyecto";-0,2801;2,3762;20,4653;-33,764
"sencillo";1,2814;1,042;1,0509;-4,6437
"resuelto";5,0389;-0,5959;-0,3165;-2,8503
"tabla";0,4463;0,7805;1,5076;-3,7567
"amigo";46,6695;-26,4451;-18,2651;4,2733
"literal";-1,9168;-5,7703;-3,8038;16,2535
"trompeta";-0,8562;4,5792;-1,025;-1,4002
"coche";4,4731;0,8355;-3,7173;-1,6122
"actualmente";-2,0433;3,4173;3,7526;-6,8046
"antiguo";-5,0717;56,6554;-5,7664;-28,4282
"venecia";-2,5688;9,6864;-0,2746;-6,8409
"acudir";3,959;-4,8927;17,7021;-15,7909
"paular";-0,3589;0,2558;1,3238;-0,8414
"gn_mexico__";-3,2823;-7,5748;-3,9294;20,7253
"ave";0,5696;0,2558;-0,4677;-0,2437
"franquistas";-2,212;-5,1047;-1,7594;12,2074
"falda";2,4178;-0,9895;0,2861;-0,7854
"ljcivfzzr0";-1,6412;-3,7874;-1,9647;10,3625
"dificultar";-0,5046;0,4875;2,6985;-2,8503
"dificultad";-0,8054;4,1887;0,6918;-4,5255
"gestión";-1,1909;-0,4316;9,7421;-4,9886
"confesor";-1,4271;10,0185;-1,7084;-3,8005
"forestal";-1,7125;-1,0774;11,2623;-4,5606
"consumo";-3,4512;8,9212;5,0493;-18,4754
"bíblico";-0,7849;5,5101;-0,9396;-2,0902
"cobardía";-1,1729;1,8132;-2,1519;0,608
"rechazar";-1,48;6,2141;0,4033;-4,2726
"adelante";3,0931;0,8838;-0,499;-3,3055
"ausentar";4,2681;-0,295;0,2658;-3,9314
"jamás";1,3552;-0,2968;-7,1442;1,9998
"negociar";1,8332;-0,3886;1,2589;-2,8195
"encantamientos";-0,7849;5,5101;-0,9396;-2,0902
"1560";-1,9266;13,525;-2,3063;-5,1307
"nacer";-0,9418;-0,3004;-2,9079;3,2952
"modificación";-0,5214;0,8041;3,0228;-4,3705
"felicitar";-0,2686;-1,6467;1,0645;0,5881
"arbitrario";-0,4063;2,23;-0,5277;-0,9701
"repetir";-0,529;3,2139;-0,8089;-1,5129
"nobleza";-2,0693;11,2315;-2,4772;-3,3669
"alimenticio";0,3361;1,2234;0,2549;-1,9002
"maricruz";16,3915;-3,2933;-1,7084;-3,8005
"regla";-3,9623;6,6915;-1,3484;-0,8947
"acercamiento";-0,2193;0,2908;2,1673;-2,1108
"admirar";-1,2677;-0,7955;-3,7422;5,7957
"socavar";-0,8562;2,599;-0,1972;-1,4002
"montaña";3,1911;7,2641;-4,3097;-9,3315
"puñado";0,6463;2,2162;-0,9396;-2,0902
"embarcar";-1,0703;7,5138;-1,2813;-2,8503
"k";-1,4592;-1,996;-7,1415;11,792
"jurar";-9,0543;-3,6372;-5,6835;23,1057
"luminoso";1,3591;-0,5489;0,6846;-1,1373
"experimentación";-0,4063;3,9141;-0,5277;-2,4703
"ubicación";1,6367;-1,0829;0,8805;-0,9569
"implicación";0,3031;2,8764;0,3015;-3,8528
"entrever";4,5626;-11,6846;8,2035;-2,1929
"pacífico";-0,4545;-0,9951;6,4221;-2,5574
"ocupacional";-1,8552;13,0241;-2,2209;-4,9406
"hormona";-0,3589;-1,1609;0,8189;0,6528
"yolanda";14,7307;-7,5748;-2,888;-0,5328
"estrecho";-1,1729;7,5813;-0,5804;-4,4941
"cascabel";-0,7849;-0,2807;0,9319;0,2317
"vicio";-1,4945;11,6389;-1,9487;-4,8023
"Art";-1,4984;7,5047;-1,7938;-2,1108
"xi";-2,8542;9,4105;-0,2397;-6,2401
"planetario";-0,6597;2,6326;0,6846;-3,4204
"surgir";-0,5597;40,6722;-1,022;-48,3556
"inclinar";-0,5937;4,8491;-0,8702;-2,4308
"océano";-1,2784;3,7536;0,8805;-4,2823
"desarmar";2,5373;-1,3426;-0,2253;-0,4678
"abordar";-2,2744;-0,3451;14,2591;-9,3225
"matizar";0,3361;1,2234;0,2549;-1,9002
"migración";-0,5689;-3,5328;27,6501;-15,7725
"rt";-Inf;-Inf;-Inf;Inf
"re";-25,6075;-82,3179;-32,8093;201,7284
"ra";-0,9276;-2,1407;2,4422;0,529
"satélite";2,4178;-0,3348;0,2861;-1,885
"ro";-0,7135;-1,6467;1,0645;0,9991
"incansable";-0,7352;6,1864;-3,0751;-1,531
"vacunar";-1,1417;-2,6347;11,9721;-3,0404
"fujimori";-1,4271;-3,2933;0,5546;3,4401
"agregar";3,0848;-7,2848;20,5313;-15,0883
"pulso";-0,933;-0,6602;4,4518;-1,2962
"ceremonia";-0,597;1,3994;5,0774;-8,9575
"dogmatismo";-1,1417;8,0148;-1,3667;-3,0404
"tren";12,9897;-2,2986;-0,3908;-4,1948
"diario";1,3891;0,3468;11,5248;-16,6563
"tres";42,2224;-5,3216;33,2127;-94,8269
"generalmente";0,2535;6,8628;-0,3902;-8,7412
"traumatizó";-0,999;-1,4329;-1,1959;4,8842
"nues";-1,1417;-2,6347;-1,3667;7,2086
"menudo";-6,8046;34,864;-8,6974;-7,9353
"revuelta";-5,209;36,5691;-6,2358;-13,8721
"pelea";0,3938;-2,3081;-0,2397;1,699
"adiós";0,409;-2,5012;4,1958;-0,9748
"mentalidad";-3,2126;20,3168;-5,1253;-5,8928
"cama";8,9224;-2,3804;1,4217;-5,2217
"mensaje";18,5229;-8,1758;-0,725;-1,0615
"represión";0,7372;7,1556;-0,7665;-8,6948
"caye";8,1957;-1,6467;-0,8542;-1,9002
"marelbys";-15,1999;-35,0779;-18,1962;95,9799
"insecto";-1,4564;-0,5574;-0,5223;2,3111
"chileno";-2,9969;-6,9161;1,2263;5,6523
"motivar";0,669;2,8805;-1,0645;-2,4382
"hondo";-0,3233;-0,9628;-3,246;3,8669
"pasta|pastilla";0,7358;-0,8977;-0,3526;0,5881
"oligarquía";-0,7849;-0,5618;-0,4093;1,8762
"buscador";-1,2677;-3,1745;-4,869;11,4906
"civilizatorios";-0,7849;5,5101;-0,9396;-2,0902
"suscitar";-3,6028;10,3482;-1,1067;-3,1958
"vídeo";-4,3527;-8,5806;-5,2107;25,4341
"violadores";-1,2413;-10,6311;-5,7299;21,9763
"misael";12,2936;-2,47;-1,2813;-2,8503
"macedonio";7,7799;-1,5221;0,3647;-4,5606
"melgar";-0,2147;-4,446;13,2915;-5,1307
"edgar";0,3361;0,4064;0,5874;-1,088
"concentrar";3,5304;-0,8847;2,2456;-5,131
"lesión";2,7278;-0,3781;2,4482;-7,1412
"exitoso";-1,2677;-0,4667;2,4399;-0,4909
"camisa";3,4555;0,2994;-1,2565;-1,4155
"doméstico";2,5934;9,0641;-1,6982;-14,8056
"pdhpdlvk7y";-1,213;-2,7993;-1,4521;7,6592
"xochitlgalvez";-0,9276;-2,1407;-1,1105;5,857
"viii";-1,2844;9,0166;-1,5376;-3,4204
"divorcio";-0,6947;10,3068;-2,9897;-4,3509
"abusar";0,4871;0,255;1,1974;-1,5374
"hamburgo";-0,999;0,93;2,2134;-2,6603
"simio";-5,0663;-11,6917;-6,065;31,9897
"invadir";-2,2659;4,0221;-0,335;-1,3669
"lucas";-1,2844;0,2811;0,6846;0,3311
"esquizofrenia";-0,4063;-1,296;1,18;0,529
"hacerlas";-0,2686;1,2234;-0,3526;-0,5982
"xalapa";2,6302;-2,3053;1,5802;-1,7216
"destacar";-3,5666;-4,0494;62,0469;-30,7587
"perturbar";-1,1615;7,9017;-2,3063;-2,3487
"00hrmin";-37,0421;-85,4858;-44,3439;233,9235
"alquiler";-1,9266;-1,8723;-1,4695;6,8377
"okupas";-1,213;-2,7993;-1,4521;7,6592
"instalación";1,3644;-1,8852;16,8892;-17,2558
"creel";-0,313;-1,8113;6,518;-2,0902
"unir";-4,2909;2,5044;53,4348;-51,0688
"creer";-2,5068;17,552;-14,7704;-0,841
"comparecer";-0,2236;-1,5715;2,0123;-0,2597
"attali";-0,7135;5,0092;-0,8542;-1,9002
"inmediato";0,7329;1,3538;6,1452;-13,804
"combinación";-1,1037;2,2826;0,5023;-1,6618
"memorable";1,145;1,0125;-0,4093;-2,0902
"defensivo";-0,5777;4,1107;-0,3179;-3,0859
"profesión";-1,451;33,4201;-4,6167;-21,1653
"sol";1,6914;0,4138;-3,3308;0,4738
"sor";-0,313;2,2162;0,2144;-2,0902
"seguir";9,2177;-0,7622;0,4416;-4,7879
"150";0,409;-0,295;1,4042;-1,3368
"condenar";-2,0073;11,6907;-1,5484;-4,2736
"leer";1,105;-0,9092;-2,5517;1,8271
"zapata";1,6037;-1,976;2,7054;-2,2803
"zapato";9,3611;-0,7772;-2,3547;-2,3066
"industrialización";-1,9979;12,2354;-1,5413;-5,3207
"infancias";-0,5046;-2,47;9,3786;-2,8503
"téllez";-1,6412;-2,7227;2,4123;1,1282
"modelo";-4,8357;29,3862;-0,7559;-18,3542
"99";0,8403;0,2994;1,2937;-2,5723
"domingo";-7,3501;-42,6865;6,0016;26,8948
"logro";0,4941;-0,4083;2,0434;-1,7646
"maldito";-0,779;-0,318;-1,5397;2,1508
"biblia";1,0876;5,1731;-2,5061;-4,4828
"atestiguan";0,2894;2,2162;-0,4093;-2,0902
"92";-1,1615;-0,6907;8,5149;-3,9314
"dependiente";-0,8605;8,1225;-0,5523;-6,0606
"decir";43,0239;-58,7386;-15,1835;24,5245
"empatar";-0,3257;-1,9956;2,086;0,3311
"heredar";0,8267;1,225;1,5804;-6,2121
"sspcmexico";-2,0693;-4,7754;-2,4772;13,0658
"boca";5,8628;-2,7737;-3,1818;0,9891
"sigs";-0,9276;6,512;-1,1105;-2,4703
"tez";7,2529;-0,7682;-1,1105;-2,4703
"aproximar";-0,4006;2,668;0,5546;-3,8005
"brillante";0,8583;0,3614;0,3789;-1,172
"malvar";-1,5698;4,861;-1,1172;-1,1799
"viaje";1,6326;1,3504;-0,8364;-2,1078
"indagar";2,311;0,2558;-0,1972;-2,2803
"localizar";7,0887;-0,727;2,8405;-13,8721
"explosión";1,0131;0,5927;2,036;-5,7023
"fake";-1,7125;-3,952;0,6055;4,0417
"ovidio";-1,0703;2,965;0,5638;-2,8503
"papar";-1,213;8,5157;-1,4521;-3,2304
"coraje";4,6898;0,3323;-4,8352;-0,5952
"drama";-0,8144;6,2792;-0,8885;-3,1774
"coyoacán";-1,6412;-3,7874;15,1813;-3,2362
"objetiv";-7,7066;-17,7849;-9,2257;48,6618
"ardiente";0,7399;2,2596;-1,2813;-1,885
"natural";-13,0326;60,3358;0,4149;-47,6237
"sr";-3,1479;-9,7156;-3,0636;21,2764
"so";-2,8903;-2,0681;-0,3277;5,2427
"sa";-0,7135;-0,8977;1,6857;0,3027
"se";15,6017;Inf;0,4111;-Inf
"refugiado";-2,4974;4,4662;1,4344;-5,3453
"principio";-5,626;68,9722;-1,099;-52,4121
"experimento";-0,5214;1,9399;0,6647;-2,417
"crítica";-0,48;0,9247;3,1606;-4,2511
"inmerso";0,6463;0,6095;0,2144;-1,2428
"televisor";0,3361;1,2234;-0,8542;-0,5982
"toro";-1,9336;-3,026;15,6755;-3,3157
"vaticannews_es";-1,1417;-2,6347;-1,3667;7,2086
"museo";-3,2819;-0,853;21,305;-10,0532
"cable";0,777;-1,6371;3,2712;-1,5374
"yacer";0,8223;2,5925;-1,1959;-2,6603
"asesinar";76,0585;-14,7392;-0,7553;-24,2843
"sidor";-1,1417;-2,6347;-1,3667;7,2086
"revocar";-0,7849;4,1146;-0,4093;-2,0902
"batman_limamet";-0,999;-2,3053;-1,1959;6,3075
"imaginación";-4,2614;31,486;-5,3662;-11,7001
"túnel";0,3954;-0,9895;2,0123;-0,7854
"poema";8,0313;1,2183;-2,9206;-6,2165
"danimayakovski";-1,7125;-3,952;-2,0501;10,813
"henry";-0,8562;-0,3515;1,952;-0,4751
"pared";17,4441;0,3441;-2,8301;-10,1357
"cita";1,1544;-0,7121;-0,2929;-0,233
"alivio";1,7251;3,4301;-1,5413;-5,3207
"convincente";-0,999;5,5164;-1,1959;-1,7216
"iceberg";-0,8562;4,5792;-1,025;-1,4002
"beltrán";-0,8823;-5,1047;19,1968;-5,8908
"concursante";-1,213;-2,7993;-1,4521;7,6592
"mágico";-5,9948;4,0919;-2,4799;0,872
"melvinpastoree";-0,9276;-2,1407;-1,1105;5,857
"alias";3,4538;-1,4329;-0,5892;-0,3881
"centenario";-0,933;-3,7874;13,4725;-3,2362
"galería";-1,4271;-0,2613;2,3363;-0,6331
"vasto";-0,933;7,2354;-0,7105;-4,3705
"debilidad";-0,7639;7,105;-0,6897;-4,4417
"perfección";-1,7839;3,7037;0,3283;-2,0644
"síndrome";-2,1406;0,9275;0,5517;-0,312
"dolor";23,9565;-7,0594;1,6165;-8,091
"florpolakovich";-0,7849;-1,8113;-0,9396;4,9559
"sismo";-4,0673;-9,3862;40,2321;-9,3225
"época";-22,3272;102,8144;-8,2214;-38,5039
"isabel";-3,3391;-6,1475;1,2846;6,4093
"homenaje";-0,655;-2,1487;8,6961;-2,1763
"sureste";2,6302;-0,8772;1,0547;-2,6603
"ostensible";-0,999;7,0129;-1,1959;-2,6603
"tih8o7d81j";-3,9959;-9,2215;-4,7836;25,231
"analogía";-0,3589;3,4827;-0,4677;-2,2803
"geográfico";-0,5214;1,9399;1,3983;-4,3705
"embrión";-0,7849;4,1146;-0,4093;-2,0902
"mano";29,7543;-0,5953;-3,9947;-9,5724
"psicología";-0,6286;4,5678;-0,2623;-3,7407
"dianangel01";-2,9256;-6,7514;-3,5022;18,4725
"venir";-0,5782;-3,6221;-6,4622;13,5466
"perdurar";-0,7135;1,8452;0,2549;-1,088
"intelectual";-3,5901;25,4586;-3,1299;-10,3547
"básicamente";-0,4332;1,1481;-0,3735;-0,5345
"profano";-0,9276;6,512;-1,1105;-2,4703
"pollo";1,6082;-0,6864;-0,3604;-0,3232
"descerebrada";-3,1396;-7,2455;-3,7585;19,8242
"ascenso";-4,7095;15,329;-1,4305;-5,3745
"místico";-1,2198;9,4785;-2,3918;-3,2059
"angustioso";-0,6597;6,1359;-0,8462;-3,4204
"mont";-0,313;-1,8113;6,518;-2,0902
"deportación";-1,1417;-0,2163;4,0384;-2,0499
"fácilmente";-1,4012;14,7762;-3,9778;-5,1731
"asalariar";-0,6597;7,4141;-1,5376;-3,4204
"arder";1,1544;0,8343;-0,9803;-0,9569
"irreal";-0,3257;2,0339;-0,2253;-1,6647
"normalidad";-1,5163;2,2872;2,0468;-4,0199
"verdad";-3,1465;-5,3779;-24,6128;41,2094
"entrañas";3,4964;0,5682;-0,7805;-3,2304
"demoníacas";-1,0703;7,5138;-1,2813;-2,8503
"colegia";-0,7849;-1,8113;-0,9396;4,9559
"colegio";-3,2249;-2,9026;5,8466;0,6565
"aspecto";-7,7411;65,8671;-3,4872;-39,1688
"consciente";-1,8582;10,4886;-1,2617;-4,165
"fragmentar";0,6463;1,543;-0,4093;-2,0902
"además";-0,4019;15,1468;17,7569;-65,0481
"arcángel";-3,6391;-5,9275;-4,3565;19,342
"pakistán";-3,3537;15,653;-0,8776;-8,9312
"acompañar";15,9875;0,4454;1,2231;-20,3909
"patrimonio";0,3498;-2,2379;13,7653;-7,7762
"perfectamente";-1,1379;3,6492;-1,5952;-0,6409
"coincidir";1,065;4,3583;1,2958;-12,8497
"papa";-5,2578;2,9761;0,3589;-0,4139
"ofrecer";0,6741;7,7788;1,6412;-17,211
"establecerse";-0,2686;1,2234;0,5874;-1,9002
"grabar";1,3224;0,5469;-1,1538;-0,6046
"beatriz14470382";-1,2844;-2,964;-1,5376;8,1097
"indefinición";-1,0703;5,9883;-1,2813;-1,885
"fascista";-2,3547;-0,2822;0,4271;1,0712
"ambigüedad";-0,4006;5,9191;-0,9803;-3,8005
"autonomía";2,0857;3,9289;0,7281;-15,3924
"paralice";-0,7135;-0,4655;1,0645;0,3027
"repulsión";-2,3547;-0,2822;-2,8189;4,188
"platita";-1,4271;-3,2933;-1,7084;9,0108
"institución";-0,4219;2,9708;13,9138;-26,6355
"espectacular";-2,8542;5,4838;0,5569;-3,5929
"aparentemente";0,5609;10,7293;-1,7683;-10,7874
"2004";-0,8771;3,3415;0,7298;-4,1805
"intercambio";-0,2527;4,4662;-0,2497;-5,3453
"miriam";68,7486;-16,1381;-4,3769;-16,8843
"masa";-4,0855;39,4334;-6,2065;-16,0622
"todavía";-0,3319;23,0874;-4,5047;-12,9095
"preliminar";-1,0703;1,6683;1,4279;-2,8503
"mezclar";-0,4292;11,214;-1,8817;-7,9811
"tt";-0,8562;-1,976;-1,025;5,4065
"tr";-1,0703;-2,47;-1,2813;6,7581
"to";-3,211;-3,4881;1,6622;3,1711
"estructura";-0,6715;20,7554;-1,2852;-16,5275
"aplicar";-2,5419;0,8828;5,1176;-2,7516
"th";-1,8552;1,0711;-2,2209;1,3783
"tristeza";-0,7747;0,6799;0,8527;-0,7516
"protegerse";3,0638;0,9275;-0,4455;-4,4585
"rodear";2,0031;5,0212;-1,6982;-6,344
"tb";-0,9276;-2,1407;-1,1105;5,857
"ta";-1,6412;-1,9719;0,6647;2,4575
"ayutla";12,2936;-2,47;-1,2813;-2,8503
"elena";0,8583;-4,7754;3,1434;-0,4106
"pelis";-1,4984;-3,458;-1,7938;9,4614
"invitado";-0,1936;-1,0829;6,3609;-3,8005
"largo";2,5399;24,3966;1,4445;-57,4023
"efectivamente";2,2916;1,7841;-0,45;-4,9807
"enriquecer";-0,9276;2,9915;-0,2348;-1,5599
"potencia";-7,5374;49,1868;-4,3873;-22,2386
"té";0,9046;0,7528;-0,8462;-0,7486
"transportar";1,0653;0,4782;0,4994;-2,1108
"perso";-1,0703;-2,47;0,9447;1,8635
"corto";0,5116;0,2916;0,6777;-0,9008
"corte";3,8215;-3,5758;9,8966;-7,9285
"previamente";-0,5046;0,2697;2,6985;-1,885
"vergüenza";-8,9093;-0,2731;-5,45;11,4947
"turista";-1,1267;-2,3606;2,8985;0,6745
"predatorias";-1,2844;9,0166;-1,5376;-3,4204
"intensivo";-0,8218;0,4782;3,4539;-2,8926
"bajar";6,8328;-6,7739;1,1993;-0,6525
"ejecución";0,3126;3,9552;2,238;-12,8116
"tipo";-5,1951;30,7418;-2,1098;-11,7153
"biden";-3,5678;-8,2335;26,2228;-3,7494
"joseant92629832";-1,4984;-3,458;-1,7938;9,4614
"abc";2,8356;-1,6467;0,2549;-0,5982
"delegación";4,5165;-0,844;2,138;-7,601
"lejos";1,3324;4,3145;0,4191;-8,8813
"maligno";-2,0693;8,7748;-1,6136;-2,6394
"fundamentar";-1,213;6,9373;-0,7805;-3,2304
"fundamental";-2,3827;15,6903;2,0829;-22,3068
"complicidad";2,2856;-0,5906;-0,4454;-0,6617
"falacia";-0,313;1,543;-0,9396;-0,3836
"canalred_tv";-13,4871;-31,125;-16,1457;85,1637
"buscar";58,8167;-6,4289;0,8615;-24,0346
"unanimidad";-0,4398;-0,5135;5,9625;-3,9905
"biografía";-1,822;14,2243;-2,3581;-5,776
"valorar";-1,1379;5,1313;-0,3051;-3,1774
"miedo";-Inf;-Inf;-Inf;Inf
"sheinbaum";1,1797;-16,3028;34,2171;-13,2457
"7etkroc190";-0,7135;-1,6467;-0,8542;4,5054
"escalera";7,0789;-1,6413;-1,6178;-0,8039
"perderla";-0,5046;-2,47;-0,3165;3,2627
"noventa";0,5241;6,8768;-0,9659;-7,9811
"multar";-0,2381;0,2642;0,9507;-0,7703
"ilícito";-0,8347;-1,2668;9,2867;-3,5289
"noble";-2,2659;16,5009;-1,6541;-7,9072
"recientemente";-0,5279;4,2853;2,6438;-12,7319
"agitar";0,2697;1,5735;0,3283;-2,0644
"terrorífico";-0,8562;1,2987;-0,1972;-0,4751
"transparencia";-1,459;-2,6298;19,6128;-7,2488
"reventar";2,6302;-0,5096;-0,2746;-1,1028
"avenida";8,2694;-7,5748;4,8874;-7,3221
"frágil";-1,6024;7,9723;-0,5455;-4,3417
"autopista";0,909;0,8041;0,6647;-3,2362
"parcha";-0,7135;-1,6467;-0,8542;4,5054
"vivienda";-3,8562;-2,9216;46,154;-20,6944
"preocupante";-0,8347;-2,9094;3,5692;0,4387
"noagresiva";-4,4241;-10,2096;-5,2961;27,9345
"materializar";-0,9276;2,9915;0,3793;-2,4703
"esquina";8,9815;-2,1618;0,3805;-3,4291
"trimestre";0,9838;-0,8889;3,2292;-3,064
"internar";1,4773;-0,7807;1,1725;-1,5202
"prisionero";-1,1615;5,9794;-1,4695;-1,7885
"pulsera";3,1454;-1,976;0,8189;-1,4002
"colaterales";-0,2236;1,6683;0,2861;-1,885
"leonidas_plaza";-3,211;-7,4101;-3,8439;20,2747
"encantar";-4,6579;-10,7679;-6,9288;32,7945
"publicidad";-0,3665;4,0502;-0,8784;-2,2057
"gold";-2,7115;-6,2574;-3,246;17,1208
"ojo";15,7082;-6,873;-12,9591;3,325
"reportero";32,83;-9,4009;-2,7924;-4,6743
"carranza";-0,4063;-1,296;6,4938;-2,4703
"calentamiento";-1,3557;-0,9792;4,822;-0,8507
"legislatura";1,5587;-8,8922;17,4899;-8,7751
"consagradas";-0,313;3,0574;-0,9396;-1,2428
"02";-0,4063;-2,1407;5,2565;-0,9701
"corno";-1,1037;11,2652;-2,2209;-4,9406
"imaginar";0,5168;0,4349;-12,384;4,6955
"tonto";-4,4394;-14,9894;-6,5894;36,5505
"cruzar";5,1214;1,1413;1,2982;-12,1061
"verse";-0,9614;5,8836;-1,8512;-1,6615
"conjunto";-8,1201;22,3774;2,9444;-25,1112
"instintivo";-0,7135;3,6534;-0,8542;-1,088
"interrogatorio";-0,2561;3,3464;-0,3604;-3,0404
"recurrir";0,6496;4,9156;0,335;-8,221
"guardar";2,5021;-0,3156;-1,8596;-0,3959
"representativo";-0,4006;1,5992;1,2868;-3,8005
"durar";-0,5555;1,0568;0,4708;-0,9346
"caeli";-0,9276;-2,1407;-1,1105;5,857
"error";-0,7158;5,1396;1,4962;-7,5665
"coger";-3,9775;-0,6379;-8,3715;11,0651
"deterioro";-0,6071;-0,4731;5,5775;-3,2304
"contestar";15,7458;-14,0685;-1,8711;0,6485
"caer";0,2904;-1,3306;-2,2622;3,7822
"platicar";14,254;-6,9161;0,6871;-4,6422
"migrantes";5,7898;-7,3009;27,7791;-29,3946
"euro";-0,999;-0,5096;2,2134;-0,3881
"elec";-0,7135;-1,6467;-0,8542;4,5054
"sarracenos";-0,7135;5,0092;-0,8542;-1,9002
"implícito";-1,3141;16,5615;-3,1193;-7,8657
"concreto";-1,5188;20,4662;-1,0187;-15,2671
"castigo";-2,2472;27,1147;-3,7843;-12,6407
"frío";3,7706;-0,7673;-1,0805;-0,6192
"condenación";-0,8562;6,011;-1,025;-2,2803
"acerca";-3,0872;43,4031;-4,3055;-23,772
"orbe";-1,8552;-1,7538;14,0394;-4,9406
"tomar";19,0245;1,8773;2,2197;-34,7749
"formar";4,3729;8,7917;1,022;-33,1061
"australia";-0,7135;-0,4655;3,3791;-1,088
"formal";0,7102;2,2349;1,1581;-8,1711
"d";-24,436;-25,8197;-12,4686;93,5487
"pender";-1,6371;-0,5334;9,2643;-4,3509
"ivan";-0,7135;-0,4655;0,5874;0,5881
"continuo";-1,708;9,3277;0,504;-9,3225
"procesar";1,6549;-0,5125;1,9301;-3,3003
"devaluación";-0,7849;4,1146;-0,4093;-2,0902
"et";-1,5698;11,0204;-1,8792;-4,1805
"palo";4,8732;-1,6413;0,4371;-1,7462
"pala";4,6752;-3,6227;-1,8792;0,655
"aparato";1,6265;3,7776;-1,4006;-4,8817
"procesal";-1,4984;-3,458;0,8015;3,069
"comparar";0,2957;3,4204;0,3981;-4,5255
"derrumbar";1,6367;-3,8815;1,5741;-0,2633
"anterior";-1,2136;12,0195;4,025;-24,0065
"saludar";2,0771;-0,7126;0,6437;-1,375
"planteamiento";0,4457;-0,5096;0,6373;-0,3881
"personalidad";0,4698;-0,7406;0,2562;0,4972
"mitin";3,1454;-1,976;0,4377;-0,8414
"cia";-1,1417;-1,1046;4,9774;-0,8988
"up";0,3637;-2,5757;0,2436;1,6982
"ud";-2,2834;-5,2694;-1,2366;11,1855
"genial";-1,5698;-2,5757;0,4497;3,3871
"estilo";-2,836;6,8039;1,6684;-7,3587
"discrepancia";-0,7849;1,543;0,9319;-2,0902
"césar";1,0869;-0,4016;0,8476;-1,3782
"caracas";-1,3557;-3,1287;-0,9129;7,0086
"lucio";-0,5594;-6,4221;-1,6832;9,4511
"secundario";8,2433;13,721;-6,1765;-25,6313
"viral";-0,5214;-3,7874;-0,7105;5,3244
"regina";0,6016;-2,7993;-1,4521;3,1704
"lucir";3,4752;-4,1753;5,6568;-5,0206
"rodilla";-0,2989;-1,5447;-0,3005;1,8057
"ataque";-14,5522;-26,4394;0,3109;46,1435
"delincuente";2,8042;-13,7456;-1,4679;7,4194
"suplicios";-0,7849;5,5101;-0,9396;-2,0902
"tequila";-0,999;-2,3053;10,4755;-2,6603
"filósofo";-1,0123;17,4738;-4,3565;-8,229
"magia";-2,8542;11,4002;-1,7489;-3,5929
"eva";1,2819;1,8723;0,2586;-4,9895
"egoísmo";-3,9246;-2,0681;-1,6513;9,1542
"noticiar";8,8633;-0,696;1,4795;-8,9752
"privilegio";-0,5102;3,1496;-0,8069;-1,4019
"disponible";-0,7208;1,2826;1,0335;-1,7175
"cancha";2,1501;-13,9972;-5,9714;11,6695
"directivo";0,3663;-1,1959;2,9347;-1,0378
"caza";-3,211;20,5481;-2,8113;-8,5512
"polémico";-1,1801;0,4226;3,5254;-2,0633
"peculiaridad";-0,7849;4,1146;-0,4093;-2,0902
"acatar";0,3361;-0,8977;3,3791;-1,9002
"causar";-5,7606;2,2003;10,0322;-7,3045
"montpellier";-0,999;7,0129;-1,1959;-2,6603
"causal";-0,7005;8,8325;-1,9487;-4,0394
"repercutir";0,3361;1,8452;-0,3526;-1,9002
"rentable";-0,313;4,1146;-0,9396;-2,0902
"significativamente";-0,9276;-0,2168;4,1832;-2,4703
"tragar";2,0771;-2,6209;0,6437;-0,2914
"amenazar";-0,7124;12,9445;-3,8368;-4,5474
"castañeda";1,6037;-1,976;2,7054;-2,2803
"zamora";0,6463;-1,8113;3,9931;-2,0902
"brujería";-10,6325;64,1995;-11,2047;-22,0404
"relacionar";-3,2257;3,3427;3,416;-4,6345
"lema";-0,4006;0,8343;-0,2929;-0,3973
"agosto";8,7853;-4,4947;14,8975;-21,2122
"arribar";0,6016;-1,853;5,5775;-3,2304
"borrego";-1,1037;-4,2814;-0,3067;5,5374
"educación";0,9316;3,1576;6,7366;-20,9783
"borrar";0,9055;-1,9673;-0,6172;1,4812
"atemorizar";0,7358;1,2234;-0,8542;-1,088
"árbitro";-0,8218;-1,1893;-1,7938;4,5879
"diversidad";-1,5081;1,0904;4,2986;-4,1672
"interlocutor";0,2164;2,23;-0,2348;-2,4703
"borgesjorgel";-0,7849;-1,8113;-0,9396;4,9559
"ingreso";0,8082;3,3918;3,1363;-15,1249
"joda";-2,0693;-4,7754;-2,4772;13,0658
"adivinar";-1,1801;10,1118;-1,0803;-5,7023
"2019";12,9041;-20,9151;21,2689;-18,9086
"2018";4,2726;-15,6198;27,7628;-15,8523
